 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO57876,XCIEN,MARZO,26/3/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO ALBA 12",,,0,0,SÍ,NO,NO,,,,ON,Juárez,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO57412,LUMINET,MARZO,27/3/2026,8/4/2026,SI,CECILIA NUÑEZ,FELIPE CAZARES,DANIEL GONZÁLEZ,SLW BUSINESS CENTER,"Sandur, SIDP-100 + AD, SLW BUSINESS CENTER S.A. DE C.V., SITIO SLW RUFINO TAMAYO","[SO57412] Sandur, SIDP-100 + AD, SLW BUSINESS CENTER","6,500",,"6,500",NO,SÍ,SÍ,DEDICADO,DEDICADO/AD,100,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"234,000.00",SÍ,,,,,
SO57424,LUMINET,MARZO,27/3/2026,,PENDIENTE,CECILIA NUÑEZ,FELIPE CAZARES,DANIEL GONZÁLEZ,SLW BUSINESS CENTER,"Sandur, SIDP-100 + AD, SLW BUSINESS CENTER S.A. DE C.V., SITIO SLW PARQUE CENTRO","[SO57424] Sandur, SIDP-100 + AD, SLW BUSINESS CENTER","6,500",,"6,500",NO,SÍ,SÍ,DEDICADO,DEDICADO/AD,100,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"234,000.00",SÍ,,,,,
SO57558,LUMINET,MARZO,27/3/2026,16/4/2026,SI,CECILIA NUÑEZ,ADRIANA VÁLDES,LEONARDO RODRÍGUEZ, M.H LOGISTIC,"Luminet, SIDP-100, M.H LOGISTIC, SITIO NAVA","[SO57558] Luminet, SIDP-100, M.H LOGISTIC","1,501",,"1,501",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Piedras Negras,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"54,036.00",SÍ,,,,,
SO56881,XCIEN,MARZO,27/3/2026,,,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,3G ALTA ASESORES PATRIMONIALE,"Sandur, SID-20, 3G ALTA ASESORES PATRIMONIALES, SITIO: PATRIMONIAL",,"-5,550",,"-5,550",NO,SÍ,NO,DEDICADO,DEDICADO,30,ON,Capitolio,7,EMPRESARIAL,EAC,CAMBIO RAZÓN SOCIAL,NO,"-38,850.00",SÍ,,,,,
SO57918,LUMINET,MARZO,27/3/2026,23/4/2026,SI,CECILIA NUÑEZ,JONATHAN TORRES,JONATHAN TORRES,JOSÉ CARLOS ROBLES DE LAS FUENTES,"Luminet, SIDP-100, JOSÉ CARLOS ROBLES DE LAS FUENTES., CASA PAPA JOSE CARLOS",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Loft,,EMPRESARIAL,EAC,UPGRADE,SÍ,0.00,NO,,,,,Cortesía de incremento para la casa del papá del Ing. José Carlos
SO57931,HUUS,MARZO,27/3/2026,,PENDIENTE,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,WALDO'S DOLAR MART DE MEXICO,"HUUS, SIMP-20, WALDO'S DOLAR MART DE MEXICO, 6402 CITADINA ESCOBEDO",,0,,0,SÍ,NO,NO,PYME,PYME,20,ON,Mirasur,,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,0.00,NO,,,,,Servicio a prueba por 3 días
SO57940,XCIEN,MARZO,27/3/2026,31/3/2026,SI,EDWIN GARZA,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,DEACERO,"Sandur, SIDP-20, DEACERO, SITIO: ACERÍA RAMOS 20 Mbps","[SO57940] Sandur, SIDP-20, DEACERO","5,700",,"5,700",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Ramazini,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"205,200.00",ODC,2681516,,PENDIENTE PAGO,,
SO57737,LUMINET,MARZO,28/3/2026,8/4/2026,SI,FRANCISCO ALDAY,JULIO PUENTE,CARLOS ALONSO,TRANSPORTES NARRO VILLARREAL,"Luminet, SIDP-200, TRANSPORTES NARRO VILLARREAL, G298+CGX RAMOS ARIZPE, COAHUILA DE ZARAGOZA","[SO57737] Luminet, SIDP-200, TRANSPORTES NARRO VILLARREAL","1,500",,"1,500",SÍ,NO,NO,DEDICADO,DEDICADO,200,ON,Mecasa Ramos,24,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"36,000.00",SÍ,,,,,
SO57789,XCIEN,MARZO,30/3/2026,31/3/2026,SI,FRANCISCO ALDAY,OSCAR RIVERA,,PARTIDO REVOLUCIONARIO INSTITUCIONAL,"Sandur, SCET, PARTIDO REVOLUCIONARIO INSTITUCIONAL, Oficinas PRI Torreon",,,"4,294","4,294",SÍ,NO,NO,,,,OFF,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Compra de nodo
SO57922,HUUS,MARZO,30/3/2026,,,NANCY FUENTES,IRIS RAMÍREZ,,FINANCIERA INDEPENDENCIA,"HUUS, CDD, FINANCIERA INDEPENDENCIA S.A.B. DE C.V., SOFOM, E.N.R., SITIO JUAREZ 15",,,0,0,SÍ,NO,NO,,,,OFF,Satelites del norte,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,Sin costo por retención del cliente
SO57949,LUMINET,MARZO,30/3/2026,15/4/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,DIRECCION DE PENSIONES DE LOS TRABAJADORES DE LA EDUCACION,"Luminet, CDD, DIRECCION DE PENSIONES DE LOS TRABAJADORES DE LA EDUCACION, Sección 38",,,0,0,SÍ,NO,NO,,,,ON,Jolla,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,Sin costo ya que ya se cobro el cdd sin que se llevara a cabo
SO56906,LUMINET,MARZO,30/3/2026,27/4/2026,SI,FRANCISCO ALDAY,ROSA SOLÍS,,ACERO PRIME,"Luminet, SST-R, ACERO PRIME, Aceros Prime- Parq. Industrial Santa Maria","[SO56906] Luminet, SST-R, ACERO PRIME",,"8,731","8,731",NO,SÍ,NO,SERVICIOS ADMINISTRADOS,EVENTUAL,,ON,,,EMPRESARIAL,VENTA DIRECTA,VENTA DE EQUIPO,NO,0.00,SÍ,,,,,Configuraciones de 8 AP + CONTROLADORA Unifi
SO54872,HUUS,MARZO,31/3/2026,,PENDIENTE,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,EMPRESAS IAI,"HUUS, SIDP-40, EMPRESAS IAI, SITIO: SAN LUIS POTOSI","[SO54872] HUUS, SIDP-40, EMPRESAS IAI","3,900",,"3,900",SÍ,NO,SÍ,DEDICADO,DEDICADO,40,ON,San Antonio TRM2,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"140,400.00",SÍ,,,,,
SO56346,HUUS,MARZO,31/3/2026,21/4/2026,SI,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,EMPRESAS IAI,"HUUS, SIPHA-IPv4, EMPRESAS IAI, SITIO: MATAMOROS","[Offnet:SO56346] HUUS, SIPHA-IPv4, EMPRESAS IAI",750,,750,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,IP ADICIONAL,,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"27,000.00",SÍ,,,,,
SO57939,XCIEN,MARZO,31/3/2026,,PENDIENTE,CECILIA NUÑEZ,ALEJANDRA TELLEZ,LEONARDO RODRÍGUEZ,TECNOLOGIA EN  SISTEMAS Y ENLACES,"Sandur, SIDP-20, TECNOLOGIA EN SISTEMAS Y ENLACES, SERVICIO VIC MAR TEPEYAC","[SO57939] Sandur, SIDP-20, TECNOLOGIA EN SISTEMAS Y ENLACES",263,,263,SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Sta. Catarina,36,EMPRESARIAL,DISTRIBUIDOR,UPGRADE,SÍ,"9,457.20",SÍ,,,,,
SO57974,LUMINET,MARZO,31/3/2026,1/4/2026,SI,FRANCISCO ALDAY,OSCAR RIVERA,,"GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA (Facturación Eventuales, Póliza y VPN)","Luminet, SID-20, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA (Facturación Eventuales, Póliza y VPN), Fracc Misiones X",,"4,000",,"4,000",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Loft,12,GOBIERNO,OTRO,UPSALE,SÍ,"48,000.00",NO,,,,,
SO56441,HUUS,MARZO,31/3/2026,,PENDIENTE,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,DEREMATE.COM DE MEXICO,"HUUS, SIDP-100, DEREMATE.COM DE MEXICO, SITIO: SVC SALTILLO","[Offnet:SO56441] HUUS, SIDP-100, DEREMATE.COM DE MEXICO","15,000",,"15,000",SÍ,NO,SÍ,DEDICADO,DEDICADO,100,OFF,IENTC,36,EMPRESARIAL,DISTRIBUIDOR,UPSALE,SÍ,"540,000.00",SÍ,,,,,
SO57830,XCIEN,MARZO,31/3/2026,8/4/2026,SI,CECILIA NUÑEZ,JUAN ESCAMILLA,IRIS RAMÍREZ,MIRADOR AUTOMOTRIZ,"Sandur, SIDP-100 + AD, MIRADOR AUTOMOTRIZ, Sitio:Mirador","[SO57830] Sandur, SIDP-100 + AD, MIRADOR AUTOMOTRIZ","1,000",,"1,000",SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,Loma Larga,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"36,000.00",SÍ,,,,,
SO57984,XCIEN,ABRIL,6/4/2026,,,KEVIN TORRES,IRIS RAMÍREZ,,CAL QUIMICA MEXICANA,"Sandur, CDD, CAL QUIMICA MEXICANA, HIDRATACIÓN 1",,,0,0,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO57987,XCIEN,ABRIL,6/4/2026,14/4/2026,SI,CECILIA NUÑEZ,CARLOS ALONSO,,"CPS MOLDING, CPS MOLDING","Sandur, CDD, CPS MOLDING, CPS MOLDING / Sitio: Kalos Apodaca 2",,,"1,990","1,990",SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO57009,HUUS,ABRIL,6/4/2026,10/4/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,CONCRETOS TECNICOS DE MEXICO,"HUUS, SIDP-20, CONCRETOS TECNICOS DE MEXICO, SITIO: PESQUERIA","[SO57009] HUUS, SIDP-20, CONCRETOS TECNICOS DE MEXICO","3,099",,"3,099",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Pesquería Lee,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"111,564.00",SÍ,,,,,
SO57562,XCIEN,ABRIL,6/4/2026,9/4/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,, RHINO EXPRESS,"Sandur, SID-20, RHINO EXPRESS, SITIO TERMINAL MONTERREY",,"4,199",,"4,199",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Sta. Rosa,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"151,164.00",SÍ,,,,,Renovación
SO57986,XCIEN,ABRIL,7/4/2026,10/4/2026,SI,SERGIO ABREGO,EDUARDO TUEME,,BRUNO DE LA FUENTE BARRERA,"Sandur, SIEV-30, BRUNO DE LA FUENTE BARRERA, SITIO: PRIME BOXING EDIFICIO ESTACIONAMIENTO 24","[SO57986] Sandur, SIEV-30, BRUNO DE LA FUENTE BARRERA",,"8,990","8,990",NO,SÍ,SÍ,DEDICADO,EVENTUAL,30,ON,Loma Larga,,EMPRESARIAL,VENTA DIRECTA,EVENTUAL,NO,0.00,NO,,,,,
SO57936,HUUS,ABRIL,7/4/2026,,,NANCY FUENTES,IRIS RAMÍREZ,,RENT'S SOLUTION,"HUUS, SST-S, RENT'S SOLUTION, Navetec Alfa",,,"6,456","6,456",SÍ,NO,NO,,,,OFF,,,EMPRESARIAL,EAC,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Se hará pago de equipo a wisp que no se pudo recuperar en la cancelación del servicio
SO51179,XCIEN,ABRIL,7/4/2026,,,EDWIN GARZA,JONATHAN TORRES,,CONSTRUCTORA PROYECTOS CINTALAPA,"Sandur, SID-20, CONSTRUCTORA PROYECTOS CINTALAPA, Hotel 500",,"2,800",,"2,800",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Loma Larga,,EMPRESARIAL,EAC,DECREMENTO,NO,0.00,SÍ,,,,,Se decremanta servicio por retención de la cuenta; se pone alta disponibilidad sin costo
SO57644,XCIEN,ABRIL,7/4/2026,,,CECILIA NUÑEZ,JONATHAN TORRES,,CONSTRUCCIONES INTEGRALES DIOH,"Sandur, SID-20, CONSTRUCCIONES INTEGRALES DIOH, HOTEL DIOH",,"2,800",,"2,800",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Capitolio,,EMPRESARIAL,EAC,DECREMENTO,NO,0.00,SÍ,,,,,
SO57352,LUMINET,ABRIL,7/4/2026,,,CECILIA NUÑEZ,ALEJANDRO ESPARZA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Luminet, SIEV-20, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Nube Publica AFG (ICV)",,,"7,967","7,967",SÍ,NO,NO,DEDICADO,EVENTUAL,20,N/A,,,GOBIERNO,OTRO,EVENTUAL,NO,0.00,NO,,,,,Se confirma venta para cobro de incremento eventual que se realizó en los servicios de nube suministrados al Gobierno de Coahuila (paga fácil)
SO58038,LUMINET,ABRIL,7/4/2026,18/4/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,, COLEGIO DE BACHILLERES DE COAHUILA,"DEMO, SIDP-100, COLEGIO DE BACHILLERES DE COAHUILA, SITIO CHIHUAHUA",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Jolla,,GOBIERNO,OTRO,DEMO,NO,0.00,NO,,,,,Incremento a 100 mb a prueba por 15 días
SO57196,LUMINET,ABRIL,7/4/2026,29/4/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUIL,"Equipamiento 2026, SST-S, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, SITIO DIRECCIÓN GENERAL CECYTEC",,0,,0,SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VISITA TÉCNICA,NO,0.00,NO,,,,,
SO57061,XCIEN,ABRIL,8/4/2026,29/4/2026,SI,SERGIO ABREGO,JUAN ESCAMILLA,,AZTEK TECHNOLOGIES,"Sandur, SIDP-20, AZTEK TECHNOLOGIES, Sitio:Torre","[SO57061] Sandur, SIDP-20, AZTEK TECHNOLOGIES","2,500",,"2,500",NO,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Vasconcelos,24,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"60,000.00",SÍ,,,,,
SO56871,XCIEN,ABRIL,8/4/2026,,,EDWIN GARZA,IRIS RAMÍREZ,IRIS RAMÍREZ,CASAS JAVER,"Sandur, SIDP-50 + AD, CASAS JAVER, Brisas del Valle",,300,,300,SÍ,NO,NO,DEDICADO,DEDICADO/AD,50,ON,Coyotepec,24,EMPRESARIAL,EAC,UPGRADE,SÍ,"7,200.00",SÍ,,,,,Se incrementa con alta disponibilidad//Servicio a prueba 1 mes
SO58083,LUMINET,ABRIL,8/4/2026,,,CECILIA NUÑEZ,JULIO PUENTE,,INTERNATIONAL MANUFACTURING SOLUTIONS OPERACIONES,"Luminet, SIDP-200, INTERNATIONAL MANUFACTURING SOLUTIONS OPERACIONES, Blvd. Cesar H. Cantú Benavides 1465, Parque Industrial Alianza- Derramadero, Saltillo, Coah, México C.P. 25304",,,"18,000","18,000",SÍ,NO,NO,DEDICADO,DEDICADO,200,ON,Repe Derramadero,,EMPRESARIAL,VENTA DIRECTA,EVENTUAL,NO,0.00,NO,,,,,Se confirma venta
SO57645,XCIEN,ABRIL,8/4/2026,,,EDWIN GARZA,ALEJANDRA TELLEZ,JONATHAN TORRES,INDUSTRIAS COSAL,"Sandur, SIDP-50 + AD, INDUSTRIAS COSAL, GUADALAJARA","[SO57645] Sandur, SIDP-50 + AD, INDUSTRIAS COSAL","9,990",,"9,990",SÍ,NO,SÍ,DEDICADO,DEDICADO/AD,50,ON,Cerro del Cuatro,36,EMPRESARIAL,DISTRIBUIDOR,UPSALE,SÍ,"359,640.00",SÍ,,,,,
SO58117,XCIEN,ABRIL,9/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Centro de control y comando",,,"162,518","162,518",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO57741,HUUS,ABRIL,9/4/2026,,,NANCY FUENTES,RAFAEL PÉREZ,FRANCISCO VILLATORO, DPS GESTION DOCUMENTAL,"HUUS, SVOZ-EXT-N2P, DPS GESTION DOCUMENTAL, SITIO: BODEGA CENTRO LOGISTICO LIBRAMIENTO","[SO57741] HUUS, SVOZ-EXT-N2P, DPS GESTION DOCUMENTAL",250,,250,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"9,000.00",SÍ,,,,,
SO56316,XCIEN,ABRIL,9/4/2026,16/4/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,GAS EL DERRAMADERO,"Sandur, SIDP-30, GAS EL DERRAMADERO, SITIO: GAS EL DERRAMADERO",,"2,799",,"2,799",SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Repe Derramadero,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"100,764.00",SÍ,,,,,Renovación
SO56315,XCIEN,ABRIL,9/4/2026,9/4/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,"SERVICIO DOS PINOS, SITIO SERVICIO DOS PINOS","Sandur, SIDP-20, SERVICIO DOS PINOS, SITIO SERVICIO DOS PINOS// FASE 1 BLINDAJE",,"1,599",,"1,599",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Gran Plaza Salrillo,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"57,564.00",SÍ,,,,,Renovación
SO58087,LUMINET,ABRIL,9/4/2026,21/4/2026,SI,EDWIN GARZA,FELIPE CAZARES,JONATHAN TORRES,GB&C,"Sandur, SVOZ-DID_ADI-N2P, GB&C, SITIO AGUILA LIBRAMIENTO OSCAR FLORES TAPIA","[SO58087] Sandur, SVOZ-DID_ADI-N2P, GB&C",60,,60,SÍ,SÍ,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"2,160.00",SÍ,,,,,
SO57884,LUMINET,ABRIL,10/4/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,"GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA TM,","Marzo, SIDP-20, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA TM, Cesame Saltillo",,"5,097",,"5,097",SÍ,NO,NO,DEDICADO,DEDICADO,20,N/A,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,NO,,,,,Se confirma venta para elaboración de factura del mes de marzo
SO58138,XCIEN,ABRIL,13/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Campo de tiro",,,"30,419","30,419",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO58143,XCIEN,ABRIL,13/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, PRISMA 3",,,"30,419","30,419",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO58142,XCIEN,ABRIL,13/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, LA PEÑA",,,"30,419","30,419",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO58140,XCIEN,ABRIL,13/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Camino loma alta",,,"30,419","30,419",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO57994,XCIEN,ABRIL,13/4/2026,24/4/2026,SI,KEVIN TORRES,JORGE DE LA GARZA,IRIS RAMÍREZ, SEKAI TECHNOLOGY,"Sandur, SIDP-20, SEKAI TECHNOLOGY, Sitio: Ciénega de Flores","[SO57994] Sandur, SIDP-20, SEKAI TECHNOLOGY","2,100",,"2,100",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Rojas,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"75,600.00",SÍ,,,,,
SO58135,LUMINET,ABRIL,13/4/2026,,,FRANCISCO ALDAY,JULIO PUENTE,,PMX HOLDING 1,"Luminet, SVOZ-EXT-N2P, PMX HOLDING 1, Pedro Ramirez Vazquez 200-13 Nivel 2, Zona Valle Oriente, San Pedro Garza Garcia,  Nuevo Leon C.P. 66278, Mexico","[SO58135] Luminet, SVOZ-EXT-N2P, PMX HOLDING 1","1,021",,"1,021",NO,SÍ,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,12,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"12,252.00",SÍ,,,,,
SO58136,LUMINET,ABRIL,13/4/2026,,,FRANCISCO ALDAY,JULIO PUENTE,,PMX HOLDING 2,"Luminet, SVOZ-EXT-N2P, PMX HOLDING 2, Pedro Ramirez Vazquez 200-13 Nivel 2, Zona Valle Oriente, San Pedro Garza Garcia,  Nuevo Leon C.P. 66278, Mexico","[SO58136] Luminet, SVOZ-EXT-N2P, PMX HOLDING","1,021",,"1,021",NO,SÍ,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"12,252.00",SÍ,,,,,
SO58054,LUMINET,ABRIL,13/4/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,FISCALIA GENERAL DEL ESTADO DE COAHUILA DE ZARAGOZA,"Luminet, SIDP-200, FISCALIA GENERAL DEL ESTADO DE COAHUILA DE ZARAGOZA, Fiscalia general del estado de coahuila",,,"314,000","314,000",SÍ,NO,NO,DEDICADO,DEDICADO,200,N/A,,1,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,NO,,,,,Oportunidad se crea para fines de facturación
SO58014,HUUS,ABRIL,13/4/2026,17/4/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,URREA HERRAMIENTAS PROFESIONALES,"HUUS, SIS-50-10-ilimitado, URREA HERRAMIENTAS PROFESIONALES, SITIO: MEGAPARQUE, TABASCO","[Offnet:SO58014] HUUS, SIS-50-10-ilimitado, URREA HERRAMIENTAS PROFESIONALES","6,610",,"6,610",SÍ,NO,SÍ,SATELITAL,SATELITAL,50,OFF,Satelites del norte,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"79,320.00",SÍ,,,,,
SO58098,HUUS,ABRIL,14/4/2026,18/4/2026,SI,NANCY FUENTES,DANIEL GONZÁLEZ,,DEMEK,"HUUS, CDD, DEMEK, SITIO: NAYARIT",,,"5,800","5,800",SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO58201,XCIEN,ABRIL,14/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Blvd Enrique Myz y Myz Esq  Francisco Narro ( Col Australia)",,,"22,590","22,590",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58200,XCIEN,ABRIL,14/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Blvd Enrique Mtz y W. Gonzalez  ( Eulalio Gtz)",,,"22,590","22,590",SÍ,NO,SÍ,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58101,HUUS,ABRIL,14/4/2026,20/4/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,GRUPO COMERCIAL DE MEXICO,"HUUS, SIS-50-10-ilimitado, GRUPO COMERCIAL DE MEXICO, SITIO: MAGDALENA DE LAS SALINAS, CDMX","[SO58101] HUUS, SIS-50-10-ilimitado, GRUPO COMERCIAL DE MEXICO","4,900",,"4,900",SÍ,SÍ,SÍ,SATELITAL,SATELITAL,50,ON,Starlink,24,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"117,600.00",SÍ,,,,,
